Name,"CAM-B3LYP/6-311G(d,p)","HOMO CAM-B3LYP/6-311G(d,p)","LUMO CAM-B3LYP/6-311G(d,p)","bhandhlyp/6-311G(d,p)","HOMO bhandhlyp/6-311G(d,p)","LUMO bhandhlyp/6-311G(d,p)","PBE1PBE/6-311G(d,p)","HOMO PBE1PBE/6-311G(d,p)","LUMO PBE1PBE/6-311G(d,p)",LSF
19ed_31b_6ea,2.034,-6.485,-2.422,1.961,-6.072,-2.582,1.874,-5.6,-3.267,1.7958794595599996
11ed_39b_3ea,1.84,-6.173,-2.998,1.716,-5.799,-3.148,1.218,-5.226,-3.752,1.7959036936200001
19ed_31b_3ea,2.035,-6.597,-2.57,1.965,-6.189,-2.728,1.877,-5.73,-3.42,1.7960162536800002
2ed_32b_5ea,1.999,-6.26,-2.362,1.932,-5.884,-2.527,1.755,-5.354,-3.191,1.7961169641
21ed_35b_1ea,2.018,-6.364,-2.525,1.957,-5.991,-2.677,1.819,-5.516,-3.345,1.7962034030099998
11ed_39b_6ea,1.853,-6.144,-2.908,1.735,-5.766,-3.059,1.261,-5.188,-3.662,1.7962462175400002
16ed_22b_13ea,1.979,-6.559,-2.845,1.972,-6.22,-2.975,1.687,-5.63,-3.596,1.79625268098
3ed_32b_8ea,2.027,-6.606,-2.702,1.985,-6.257,-2.866,1.849,-5.735,-3.528,1.7963577003600002
20ed_34b_4ea,1.98,-6.295,-2.603,1.915,-5.942,-2.758,1.69,-5.403,-3.407,1.7963894750999998
16ed_6b_9ea,2.025,-6.007,-1.612,1.994,-5.609,-1.716,1.841,-5.024,-2.655,1.7968020119399999
10ed_34b_12ea,1.97,-6.288,-2.628,1.904,-5.938,-2.78,1.655,-5.377,-3.418,1.79681628345
13ed_34b_5ea,1.978,-6.232,-2.546,1.907,-5.856,-2.696,1.682,-5.316,-3.336,1.7968337866800002
21ed_34b_10ea,2.024,-6.296,-2.435,1.967,-5.927,-2.588,1.837,-5.432,-3.244,1.79702416773
10ed_35b_7ea,1.993,-6.116,-2.359,1.926,-5.738,-2.505,1.732,-5.207,-3.144,1.7970909489300002
11ed_33b_4ea,1.925,-6.157,-2.607,1.829,-5.774,-2.769,1.502,-5.203,-3.431,1.7971216464300002
21ed_34b_11ea,2.025,-6.316,-2.454,1.969,-5.951,-2.609,1.84,-5.456,-3.266,1.79716096185
19ed_35b_8ea,2.02,-6.536,-2.725,1.961,-6.172,-2.88,1.822,-5.697,-3.544,1.79755384098
20ed_34b_10ea,1.994,-6.212,-2.465,1.93,-5.851,-2.618,1.734,-5.309,-3.25,1.7975866929600002
16ed_19b_13ea,1.995,-6.54,-2.858,1.963,-6.206,-3.02,1.737,-5.623,-3.596,1.79772348708
19ed_34b_9ea,2.017,-6.364,-2.534,1.956,-5.995,-2.686,1.811,-5.494,-3.339,1.79786135844
19ed_35b_2ea,2.023,-6.379,-2.532,1.961,-6.004,-2.684,1.831,-5.527,-3.343,1.7979642233400002
5ed_33b_6ea,1.953,-6.092,-2.388,1.867,-5.736,-2.546,1.594,-5.119,-3.208,1.7980802825100002
10ed_35b_5ea,1.985,-6.165,-2.446,1.916,-5.795,-2.596,1.702,-5.254,-3.234,1.7981502954300002
5ed_33b_11ea,1.947,-6.123,-2.444,1.861,-5.773,-2.605,1.573,-5.146,-3.262,1.7983363675200001
5ed_31b_7ea,1.97,-6.008,-2.205,1.889,-5.638,-2.36,1.65,-5.044,-3.028,1.7986110330000002
21ed_35b_3ea,2.023,-6.395,-2.555,1.962,-6.021,-2.705,1.829,-5.548,-3.371,1.79868212316
7ed_32b_1ea,2.01,-6.284,-2.355,1.951,-5.925,-2.524,1.785,-5.392,-3.204,1.7986985491499998
19ed_5b_13ea,2.052,-6.87,-2.989,2.032,-6.519,-3.138,1.927,-5.988,-3.754,1.79870070363
19ed_12b_9ea,2.039,-6.219,-1.497,2.013,-5.807,-1.609,1.883,-5.16,-2.571,1.79871712962
17ed_34b_9ea,2.013,-6.355,-2.542,1.95,-5.981,-2.693,1.795,-5.483,-3.343,1.7987499815999999
16ed_17b_9ea,2.029,-6.07,-1.502,2.002,-5.683,-1.61,1.849,-5.034,-2.567,1.79878498806
7ed_21b_13ea,2.029,-6.444,-2.629,2.027,-6.128,-2.769,1.849,-5.534,-3.377,1.79878498806
17ed_35b_2ea,2.019,-6.365,-2.533,1.956,-5.987,-2.684,1.815,-5.508,-3.342,1.7988528465
1ed_39b_4ea,1.891,-6.478,-3.009,1.802,-6.13,-3.17,1.382,-5.505,-3.796,1.79893174473
6ed_32b_6ea,1.991,-6.11,-2.236,1.93,-5.761,-2.408,1.72,-5.183,-3.054,1.79897106015
17ed_34b_5ea,2.018,-6.365,-2.536,1.955,-5.987,-2.688,1.811,-5.493,-3.342,1.79907500229
6ed_32b_7ea,1.991,-5.989,-2.099,1.925,-5.629,-2.266,1.719,-5.059,-2.918,1.79933001006
13ed_35b_7ea,1.997,-6.185,-2.432,1.929,-5.798,-2.576,1.738,-5.277,-3.223,1.7997918248700002
1ed_31b_1ea,1.984,-6.342,-2.506,1.905,-5.962,-2.666,1.694,-5.419,-3.352,1.79980825086
5ed_33b_2ea,1.958,-6.066,-2.341,1.873,-5.709,-2.502,1.606,-5.097,-3.17,1.79984110284
20ed_34b_11ea,1.995,-6.227,-2.483,1.931,-5.87,-2.639,1.731,-5.326,-3.271,1.79987718654
11ed_33b_3ea,1.949,-6.098,-2.46,1.859,-5.704,-2.616,1.575,-5.147,-3.283,1.8000457554000002
1ed_31b_3ea,1.991,-6.308,-2.459,1.914,-5.924,-2.617,1.717,-5.388,-3.296,1.80004790988
5ed_39b_12ea,1.831,-6.204,-3.005,1.727,-5.889,-3.166,1.176,-5.227,-3.764,1.80005679519
1ed_35b_7ea,2.007,-6.196,-2.398,1.942,-5.812,-2.542,1.771,-5.303,-3.195,1.80008291634
19ed_35b_1ea,2.023,-6.414,-2.568,1.962,-6.04,-2.721,1.825,-5.566,-3.386,1.8001179228000002
19ed_34b_5ea,2.026,-6.384,-2.533,1.965,-6.01,-2.686,1.835,-5.518,-3.34,1.8001693552499998
19ed_15b_13ea,2.047,-7.15,-3.31,2.015,-6.801,-3.472,1.905,-6.26,-4.075,1.8005293824000002
17ed_35b_6ea,2.022,-6.363,-2.52,1.959,-5.98,-2.669,1.82,-5.498,-3.325,1.8006990284999997
10ed_35b_10ea,1.988,-6.187,-2.464,1.92,-5.82,-2.614,1.705,-5.274,-3.25,1.8007143772499998
1ed_31b_6ea,1.996,-6.298,-2.408,1.918,-5.908,-2.567,1.732,-5.366,-3.241,1.8007318804799999
16ed_32b_10ea,1.991,-6.235,-2.372,1.925,-5.867,-2.537,1.715,-5.325,-3.196,1.8007658097
20ed_35b_12ea,1.984,-6.289,-2.59,1.916,-5.926,-2.741,1.69,-5.39,-3.388,1.8012440504999998
14ed_32b_13ea,1.785,-6.293,-3.21,1.73,-5.97,-3.355,1.017,-5.188,-3.944,1.80130221378
19ed_35b_3ea,2.027,-6.448,-2.601,1.966,-6.072,-2.751,1.835,-5.6,-3.417,1.8013829991
13ed_35b_5ea,1.988,-6.232,-2.522,1.918,-5.851,-2.67,1.703,-5.316,-3.316,1.80143227707
19ed_35b_6ea,2.028,-6.382,-2.523,1.966,-6.003,-2.673,1.838,-5.522,-3.328,1.80151979322
1ed_35b_5ea,2.0,-6.265,-2.503,1.933,-5.889,-2.652,1.743,-5.365,-3.301,1.80163800687
1ed_31b_8ea,1.966,-6.464,-2.762,1.896,-6.108,-2.922,1.628,-5.535,-3.578,1.80165335562
17ed_35b_1ea,2.019,-6.401,-2.571,1.955,-6.023,-2.723,1.807,-5.546,-3.389,1.8017244457800001
10ed_35b_9ea,1.988,-6.194,-2.473,1.92,-5.825,-2.621,1.702,-5.282,-3.262,1.8017912269799998
10ed_35b_2ea,1.994,-6.154,-2.411,1.927,-5.785,-2.563,1.722,-5.248,-3.205,1.8018940918800002
10ed_34b_9ea,1.99,-6.197,-2.471,1.925,-5.835,-2.62,1.708,-5.284,-3.257,1.80206481522
10ed_34b_4ea,1.977,-6.271,-2.598,1.911,-5.921,-2.753,1.664,-5.365,-3.399,1.8020812412100002
17ed_35b_8ea,2.016,-6.524,-2.734,1.955,-6.152,-2.886,1.795,-5.67,-3.551,1.80239091315
7ed_32b_3ea,2.024,-6.255,-2.3,1.968,-5.892,-2.468,1.822,-5.364,-3.139,1.80240841638
5ed_35b_13ea,1.843,-6.189,-3.118,1.751,-5.865,-3.269,1.21,-5.225,-3.86,1.80241622445
10ed_34b_10ea,1.99,-6.188,-2.46,1.925,-5.829,-2.613,1.707,-5.271,-3.242,1.8024237651300001
20ed_34b_8ea,1.983,-6.384,-2.733,1.924,-6.043,-2.887,1.683,-5.49,-3.527,1.8025430560200002
17ed_34b_12ea,2.014,-6.514,-2.711,1.952,-6.145,-2.865,1.787,-5.649,-3.523,1.80283522473
5ed_31b_2ea,1.962,-6.05,-2.318,1.882,-5.697,-2.481,1.611,-5.098,-3.142,1.8029009286900002
14ed_31b_5ea,1.957,-6.201,-2.389,1.88,-5.852,-2.549,1.594,-5.093,-3.22,1.8029348579100002
20ed_35b_2ea,1.999,-6.218,-2.468,1.933,-5.85,-2.62,1.736,-5.322,-3.264,1.8029370123900001
16ed_32b_11ea,1.994,-6.26,-2.397,1.93,-5.897,-2.565,1.719,-5.353,-3.223,1.8029709416100002
1ed_4b_13ea,1.971,-6.624,-3.063,1.933,-6.299,-3.207,1.641,-5.701,-3.792,1.8030552260400001
19ed_16b_1ea,2.052,-6.774,-2.748,1.997,-6.393,-2.915,1.914,-5.911,-3.591,1.80336705246
1ed_34b_9ea,1.995,-6.267,-2.52,1.931,-5.9,-2.67,1.721,-5.361,-3.315,1.8034666856400001
3ed_32b_10ea,2.025,-6.322,-2.352,1.963,-5.946,-2.52,1.821,-5.428,-3.185,1.8039810101399998
13ed_35b_10ea,1.991,-6.25,-2.538,1.922,-5.871,-2.686,1.705,-5.331,-3.33,1.8043553088
20ed_17b_9ea,2.034,-6.036,-1.521,2.004,-5.645,-1.631,1.85,-5.009,-2.575,1.8044942573999998
7ed_32b_2ea,2.023,-6.181,-2.215,1.965,-5.819,-2.387,1.812,-5.28,-3.051,1.80478427163
5ed_39b_10ea,1.854,-6.139,-2.851,1.759,-5.817,-3.008,1.24,-5.152,-3.61,1.8049978095
1ed_35b_10ea,2.004,-6.286,-2.52,1.938,-5.914,-2.669,1.746,-5.383,-3.316,1.80541573254
17ed_34b_4ea,2.02,-6.499,-2.683,1.958,-6.129,-2.839,1.799,-5.64,-3.505,1.8058096889100002
10ed_34b_11ea,1.992,-6.226,-2.503,1.928,-5.87,-2.657,1.704,-5.306,-3.285,1.8059279025600001
5ed_21b_13ea,1.958,-6.261,-2.768,1.934,-5.962,-2.894,1.589,-5.322,-3.476,1.80594325131
5ed_39b_4ea,1.839,-6.189,-2.972,1.737,-5.874,-3.134,1.186,-5.214,-3.739,1.80617644689
20ed_35b_1ea,1.997,-6.244,-2.505,1.93,-5.877,-2.657,1.72,-5.348,-3.31,1.8062529232500002
21ed_34b_2ea,2.039,-6.327,-2.438,1.984,-5.958,-2.592,1.862,-5.47,-3.257,1.80625507773
17ed_34b_10ea,2.027,-6.399,-2.552,1.966,-6.024,-2.704,1.821,-5.526,-3.355,1.80640829784
19ed_34b_10ea,2.035,-6.42,-2.549,1.977,-6.05,-2.703,1.848,-5.554,-3.354,1.80642580107
1ed_34b_5ea,2.001,-6.278,-2.52,1.936,-5.908,-2.671,1.733,-5.371,-3.317,1.80644114982
1ed_35b_2ea,2.009,-6.256,-2.472,1.945,-5.883,-2.622,1.76,-5.358,-3.276,1.80645865305
1ed_35b_9ea,2.004,-6.292,-2.528,1.938,-5.917,-2.675,1.743,-5.389,-3.328,1.80649258227
20ed_34b_7ea,2.012,-6.123,-2.32,1.948,-5.749,-2.468,1.77,-5.217,-3.107,1.8065100855
21ed_13b_9ea,2.049,-6.203,-1.581,2.02,-5.799,-1.691,1.895,-5.18,-2.647,1.8065461691999998
2ed_32b_9ea,2.01,-6.302,-2.389,1.946,-5.93,-2.552,1.763,-5.399,-3.221,1.8065954471699999
14ed_31b_7ea,2.002,-6.161,-2.211,1.925,-5.787,-2.365,1.735,-5.059,-3.05,1.8069368938499997
20ed_35b_6ea,2.005,-6.22,-2.457,1.939,-5.848,-2.607,1.745,-5.317,-3.247,1.8069883263
21ed_36b_10ea,2.034,-6.763,-2.774,1.992,-6.403,-2.937,1.843,-5.857,-3.581,1.8070069067699999
19ed_21b_13ea,2.053,-6.915,-2.98,2.037,-6.558,-3.116,1.907,-6.009,-3.74,1.8070933456799998
13ed_34b_10ea,1.988,-6.256,-2.561,1.918,-5.881,-2.711,1.687,-5.335,-3.348,1.8071754756299998
