Name,"CAM-B3LYP/6-311G(d,p)","HOMO CAM-B3LYP/6-311G(d,p)","LUMO CAM-B3LYP/6-311G(d,p)","bhandhlyp/6-311G(d,p)","HOMO bhandhlyp/6-311G(d,p)","LUMO bhandhlyp/6-311G(d,p)","PBE1PBE/6-311G(d,p)","HOMO PBE1PBE/6-311G(d,p)","LUMO PBE1PBE/6-311G(d,p)",LSF
20ed_31b_6ea,1.968,-6.187,-2.315,1.891,-5.797,-2.474,1.725,-5.266,-3.135,1.76926250205
6ed_32b_10ea,1.956,-6.094,-2.284,1.896,-5.748,-2.455,1.684,-5.176,-3.093,1.76941572216
1ed_31b_10ea,1.959,-6.27,-2.445,1.881,-5.883,-2.603,1.694,-5.35,-3.267,1.76946715461
10ed_31b_6ea,1.96,-6.158,-2.313,1.881,-5.773,-2.472,1.697,-5.226,-3.13,1.76960394873
7ed_35b_1ea,1.959,-6.138,-2.454,1.895,-5.782,-2.605,1.693,-5.263,-3.25,1.7698261045199999
3ed_35b_9ea,1.967,-6.175,-2.458,1.902,-5.806,-2.606,1.72,-5.302,-3.247,1.76984360775
1ed_31b_4ea,1.945,-6.368,-2.619,1.865,-5.994,-2.782,1.645,-5.454,-3.452,1.7700646863000002
10ed_1b_12ea,1.985,-6.172,-2.414,1.995,-5.831,-2.518,1.78,-5.297,-3.201,1.7701522024500003
16ed_34b_3ea,1.954,-6.209,-2.544,1.895,-5.857,-2.692,1.675,-5.331,-3.338,1.77021898365
19ed_31b_11ea,1.999,-6.457,-2.482,1.927,-6.059,-2.647,1.826,-5.584,-3.321,1.77063152049
1ed_33b_1ea,1.959,-6.316,-2.497,1.875,-5.926,-2.656,1.69,-5.398,-3.34,1.7709029542499999
1ed_31b_9ea,1.959,-6.275,-2.455,1.881,-5.886,-2.61,1.69,-5.358,-3.283,1.7709029542499999
7ed_35b_3ea,1.962,-6.171,-2.49,1.899,-5.815,-2.64,1.7,-5.297,-3.282,1.7709543867000002
21ed_31b_8ea,2.007,-6.585,-2.637,1.953,-6.206,-2.797,1.852,-5.728,-3.48,1.7710079736300002
3ed_34b_7ea,1.985,-6.09,-2.296,1.927,-5.72,-2.443,1.777,-5.207,-3.085,1.7712290521800003
5ed_31b_10ea,1.931,-6.032,-2.324,1.85,-5.672,-2.483,1.594,-5.082,-3.135,1.77138011781
7ed_32b_9ea,1.976,-6.148,-2.271,1.914,-5.782,-2.438,1.746,-5.246,-3.097,1.77143370474
13ed_33b_3ea,1.945,-6.267,-2.543,1.859,-5.872,-2.697,1.641,-5.335,-3.373,1.7715004859400003
7ed_32b_5ea,1.982,-6.173,-2.274,1.919,-5.803,-2.445,1.766,-5.271,-3.1,1.7715365696400003
2ed_34b_3ea,1.969,-6.262,-2.552,1.913,-5.911,-2.701,1.722,-5.39,-3.349,1.7715529956300002
11ed_31b_7ea,1.936,-6.007,-2.317,1.843,-5.602,-2.468,1.61,-5.07,-3.124,1.7717051384999998
1ed_16b_3ea,1.987,-6.366,-2.496,1.943,-6.013,-2.652,1.781,-5.464,-3.304,1.7722205402400002
11ed_33b_12ea,1.898,-6.151,-2.645,1.801,-5.767,-2.803,1.48,-5.207,-3.454,1.7722501605
5ed_4b_13ea,1.906,-6.401,-3.007,1.867,-6.105,-3.152,1.507,-5.466,-3.711,1.77226766373
16ed_34b_2ea,1.96,-6.15,-2.457,1.9,-5.797,-2.61,1.689,-5.268,-3.249,1.7724755480099998
7ed_35b_6ea,1.968,-6.112,-2.403,1.904,-5.751,-2.553,1.716,-5.227,-3.184,1.77249305124
11ed_33b_2ea,1.934,-6.071,-2.404,1.847,-5.676,-2.56,1.601,-5.128,-3.223,1.77250839999
11ed_31b_8ea,1.888,-6.204,-2.805,1.796,-5.838,-2.96,1.445,-5.281,-3.584,1.77267696885
3ed_35b_10ea,1.973,-6.196,-2.468,1.908,-5.828,-2.616,1.732,-5.323,-3.255,1.7728180719300002
2ed_34b_2ea,1.973,-6.197,-2.465,1.916,-5.845,-2.618,1.732,-5.32,-3.259,1.7728180719300002
3ed_35b_12ea,1.966,-6.295,-2.599,1.901,-5.935,-2.75,1.708,-5.431,-3.397,1.77293736282
3ed_35b_4ea,1.967,-6.267,-2.567,1.902,-5.906,-2.719,1.711,-5.407,-3.374,1.77307415694
16ed_34b_1ea,1.955,-6.18,-2.503,1.894,-5.828,-2.655,1.67,-5.302,-3.307,1.77322737705
11ed_31b_2ea,1.927,-6.049,-2.419,1.835,-5.657,-2.577,1.575,-5.117,-3.229,1.7733455907
6ed_35b_5ea,1.939,-6.02,-2.416,1.87,-5.674,-2.567,1.615,-5.114,-3.19,1.7735513205
11ed_33b_11ea,1.928,-6.098,-2.471,1.841,-5.705,-2.624,1.577,-5.153,-3.278,1.7738413347299997
5ed_31b_12ea,1.902,-6.172,-2.614,1.819,-5.835,-2.775,1.489,-5.223,-3.418,1.77387418671
10ed_16b_8ea,2.015,-6.504,-2.657,2.015,-6.192,-2.813,1.871,-5.591,-3.413,1.7738970761400001
3ed_14b_13ea,2.025,-6.502,-2.684,2.028,-6.181,-2.829,1.904,-5.627,-3.442,1.7741881676099998
11ed_39b_8ea,1.805,-6.206,-3.14,1.673,-5.843,-3.295,1.16,-5.27,-3.878,1.7742452536500002
5ed_33b_10ea,1.937,-6.071,-2.363,1.858,-5.708,-2.518,1.606,-5.109,-3.178,1.7743545819900002
11ed_39b_11ea,1.83,-6.146,-2.932,1.713,-5.771,-3.086,1.244,-5.192,-3.682,1.77443455746
16ed_34b_7ea,1.968,-6.05,-2.317,1.907,-5.683,-2.462,1.71,-5.157,-3.102,1.7746467506999999
9ed_33b_12ea,1.882,-6.029,-2.6,1.781,-5.654,-2.756,1.419,-5.096,-3.405,1.77472780341
21ed_10b_9ea,1.998,-5.865,-1.512,1.966,-5.454,-1.619,1.811,-4.897,-2.55,1.7748021252900004
9ed_33b_4ea,1.884,-6.015,-2.574,1.783,-5.639,-2.731,1.425,-5.084,-3.387,1.7750013916499998
2ed_16b_7ea,1.997,-6.272,-2.069,1.963,-5.897,-2.238,1.807,-5.331,-2.942,1.7750242810800003
21ed_31b_1ea,2.005,-6.381,-2.377,1.936,-5.98,-2.536,1.834,-5.52,-3.245,1.77504178431
7ed_32b_8ea,1.996,-6.474,-2.615,1.956,-6.136,-2.781,1.803,-5.591,-3.432,1.7752464368699998
3ed_35b_11ea,1.976,-6.216,-2.486,1.912,-5.853,-2.638,1.735,-5.346,-3.277,1.7753821537499999
6ed_35b_12ea,1.932,-6.105,-2.543,1.865,-5.769,-2.695,1.586,-5.207,-3.326,1.7754653609399997
3ed_34b_6ea,1.99,-6.206,-2.417,1.934,-5.845,-2.568,1.782,-5.327,-3.208,1.77550252188
11ed_31b_1ea,1.914,-6.118,-2.552,1.817,-5.732,-2.71,1.525,-5.19,-3.367,1.7755157161500001
17ed_36b_8ea,1.917,-6.999,-3.388,1.856,-6.619,-3.541,1.534,-6.041,-4.134,1.7759260985100003
1ed_18b_13ea,1.913,-6.658,-3.263,1.852,-6.335,-3.418,1.52,-5.738,-3.973,1.7760968218500002
3ed_35b_8ea,1.971,-6.345,-2.666,1.909,-5.993,-2.818,1.716,-5.489,-3.468,1.77613398279
13ed_31b_6ea,1.958,-6.228,-2.451,1.872,-5.831,-2.606,1.672,-5.3,-3.27,1.7761504087800002
10ed_25b_13ea,1.861,-6.238,-3.049,1.8,-5.899,-3.188,1.343,-5.289,-3.741,1.77652147572
2ed_34b_1ea,1.971,-6.233,-2.512,1.912,-5.883,-2.665,1.714,-5.36,-3.318,1.77685188261
17ed_31b_7ea,2.003,-6.285,-2.275,1.925,-5.86,-2.427,1.822,-5.395,-3.117,1.7769218955300001
1ed_33b_3ea,1.972,-6.275,-2.432,1.891,-5.88,-2.588,1.717,-5.362,-3.271,1.7769886767299998
2ed_34b_7ea,1.98,-6.089,-2.323,1.92,-5.723,-2.469,1.744,-5.198,-3.109,1.7770061799599999
5ed_31b_4ea,1.907,-6.152,-2.579,1.824,-5.816,-2.743,1.497,-5.207,-3.396,1.7770708066799998
11ed_12b_13ea,1.915,-6.302,-2.831,1.866,-5.952,-2.976,1.524,-5.352,-3.564,1.7770883099099999
6ed_35b_10ea,1.944,-6.029,-2.416,1.877,-5.685,-2.568,1.622,-5.123,-3.19,1.7771068903799998
2ed_35b_9ea,1.965,-6.166,-2.468,1.899,-5.801,-2.616,1.693,-5.283,-3.256,1.7771079676200001
3ed_35b_7ea,1.983,-6.125,-2.365,1.918,-5.748,-2.509,1.753,-5.248,-3.152,1.77741656232
19ed_36b_1ea,1.991,-7.05,-3.108,1.931,-6.67,-3.276,1.779,-6.153,-3.918,1.7777930154600001
6ed_35b_9ea,1.944,-6.033,-2.423,1.877,-5.687,-2.572,1.62,-5.129,-3.2,1.7778247902
11ed_31b_3ea,1.922,-6.087,-2.508,1.829,-5.699,-2.663,1.545,-5.157,-3.314,1.77804586875
9ed_33b_9ea,1.91,-5.963,-2.42,1.813,-5.572,-2.57,1.502,-5.022,-3.228,1.77891698868
14ed_36b_12ea,1.714,-6.312,-3.228,1.651,-5.986,-3.386,0.839,-5.2,-3.972,1.77902658441
3ed_35b_2ea,1.982,-6.211,-2.469,1.918,-5.845,-2.62,1.745,-5.343,-3.265,1.7790745177500003
5ed_22b_13ea,1.927,-6.323,-2.861,1.908,-6.021,-2.979,1.559,-5.391,-3.571,1.77908878926
6ed_35b_11ea,1.945,-6.055,-2.448,1.878,-5.714,-2.601,1.619,-5.149,-3.222,1.7793973839600001
17ed_39b_2ea,1.959,-6.702,-2.899,1.883,-6.292,-3.057,1.666,-5.751,-3.7,1.77951775209
3ed_35b_3ea,1.98,-6.26,-2.534,1.916,-5.894,-2.682,1.737,-5.396,-3.334,1.77951882933
1ed_21b_13ea,1.957,-6.526,-2.919,1.938,-6.206,-3.045,1.659,-5.588,-3.641,1.7796031137600004
16ed_32b_4ea,1.963,-6.338,-2.549,1.898,-5.979,-2.714,1.679,-5.446,-3.382,1.77970597866
17ed_39b_1ea,1.953,-6.736,-2.951,1.875,-6.325,-3.111,1.645,-5.782,-3.757,1.7797738371000003
1ed_16b_2ea,1.993,-6.251,-2.348,1.947,-5.896,-2.508,1.78,-5.346,-3.166,1.7798613532500003
16ed_34b_6ea,1.97,-6.148,-2.433,1.91,-5.79,-2.583,1.702,-5.256,-3.219,1.77994563768
6ed_35b_7ea,1.955,-5.961,-2.308,1.888,-5.606,-2.455,1.651,-5.052,-3.081,1.78004742534
21ed_31b_2ea,2.017,-6.324,-2.294,1.95,-5.92,-2.454,1.859,-5.455,-3.151,1.78063176276
2ed_35b_5ea,1.971,-6.173,-2.466,1.904,-5.806,-2.614,1.703,-5.29,-3.255,1.78080033162
6ed_35b_8ea,1.93,-6.139,-2.62,1.865,-5.813,-2.774,1.564,-5.245,-3.405,1.7809349712600002
2ed_22b_13ea,2.007,-6.606,-2.796,2.007,-6.278,-2.927,1.824,-5.708,-3.554,1.78105857111
17ed_39b_6ea,1.962,-6.705,-2.89,1.885,-6.291,-3.046,1.671,-5.748,-3.688,1.7813639340900003
2ed_34b_6ea,1.983,-6.195,-2.44,1.925,-5.838,-2.591,1.742,-5.307,-3.228,1.7813650113300001
6ed_35b_2ea,1.952,-5.995,-2.363,1.886,-5.65,-2.516,1.637,-5.093,-3.144,1.7814317925299998
6ed_32b_3ea,1.973,-6.12,-2.293,1.916,-5.776,-2.462,1.708,-5.212,-3.115,1.7814328697700001
1ed_31b_11ea,1.968,-6.319,-2.496,1.89,-5.937,-2.656,1.691,-5.391,-3.318,1.78146679899
6ed_35b_4ea,1.936,-6.083,-2.52,1.867,-5.748,-2.673,1.582,-5.185,-3.311,1.7817557359799998
9ed_33b_6ea,1.921,-5.972,-2.399,1.828,-5.584,-2.549,1.531,-5.029,-3.205,1.7818575236400003
16ed_32b_8ea,1.972,-6.465,-2.703,1.923,-6.12,-2.864,1.703,-5.572,-3.514,1.78201397547
3ed_32b_12ea,1.993,-6.456,-2.578,1.933,-6.091,-2.743,1.774,-5.576,-3.408,1.7820150527100003
9ed_33b_1ea,1.902,-5.995,-2.494,1.803,-5.614,-2.65,1.466,-5.06,-3.312,1.7821300346400002
1ed_31b_7ea,1.986,-6.177,-2.256,1.906,-5.771,-2.408,1.75,-5.256,-3.09,1.7821343436000001
13ed_31b_3ea,1.95,-6.29,-2.594,1.865,-5.904,-2.747,1.628,-5.366,-3.414,1.78223505402
3ed_35b_6ea,1.987,-6.211,-2.457,1.924,-5.841,-2.606,1.753,-5.336,-3.247,1.78227113772
11ed_39b_7ea,1.857,-6.102,-2.79,1.748,-5.716,-2.936,1.313,-5.141,-3.548,1.78243539762
17ed_36b_1ea,1.935,-6.834,-3.109,1.855,-6.438,-3.27,1.576,-5.892,-3.901,1.78269579159
7ed_32b_10ea,1.996,-6.211,-2.289,1.937,-5.847,-2.46,1.782,-5.309,-3.113,1.7827843849799998
1ed_33b_8ea,1.962,-6.39,-2.648,1.889,-6.017,-2.804,1.667,-5.469,-3.475,1.7827997337300001
19ed_31b_8ea,2.02,-6.738,-2.784,1.959,-6.353,-2.948,1.863,-5.878,-3.619,1.78283689467
17ed_31b_1ea,2.002,-6.489,-2.529,1.925,-6.081,-2.69,1.802,-5.611,-3.385,1.7828872498799997
19ed_31b_1ea,2.016,-6.536,-2.524,1.943,-6.132,-2.687,1.847,-5.672,-3.382,1.78372551783
2ed_35b_12ea,1.965,-6.28,-2.61,1.898,-5.924,-2.761,1.674,-5.403,-3.407,1.7839280159100004
16ed_35b_5ea,1.963,-6.135,-2.463,1.895,-5.768,-2.611,1.667,-5.244,-3.251,1.78401337758
2ed_35b_11ea,1.975,-6.206,-2.496,1.91,-5.844,-2.647,1.707,-5.323,-3.286,1.78421910738
7ed_18b_13ea,2.012,-6.727,-2.963,1.99,-6.416,-3.138,1.832,-5.819,-3.72,1.78425519108
2ed_35b_7ea,1.981,-6.118,-2.377,1.915,-5.744,-2.521,1.727,-5.231,-3.164,1.7843219722800003
6ed_32b_1ea,1.971,-6.155,-2.339,1.911,-5.814,-2.507,1.693,-5.252,-3.175,1.78438983072
21ed_35b_10ea,2.003,-6.255,-2.44,1.941,-5.878,-2.589,1.801,-5.398,-3.244,1.78445984364
1ed_39b_12ea,1.876,-6.48,-3.031,1.787,-6.132,-3.189,1.371,-5.507,-3.808,1.7846755359899997
21ed_31b_3ea,2.022,-6.44,-2.418,1.957,-6.035,-2.574,1.864,-5.575,-3.276,1.7849052324599999
3ed_16b_2ea,2.017,-6.311,-2.106,1.999,-5.961,-2.282,1.847,-5.403,-3.006,1.7849391616799999
19ed_22b_13ea,2.024,-6.953,-3.084,2.007,-6.588,-3.207,1.87,-6.058,-3.843,1.7851788207000001
9ed_35b_12ea,1.88,-6.056,-2.744,1.799,-5.686,-2.884,1.383,-5.126,-3.523,1.7852227124699998
5ed_33b_7ea,1.959,-6.017,-2.238,1.875,-5.64,-2.39,1.65,-5.051,-3.06,1.7852609506500001
16ed_35b_10ea,1.964,-6.149,-2.478,1.896,-5.785,-2.626,1.666,-5.257,-3.264,1.78558597134
7ed_32b_11ea,1.999,-6.257,-2.332,1.941,-5.897,-2.505,1.784,-5.352,-3.155,1.7857074167100002
2ed_35b_4ea,1.968,-6.258,-2.581,1.901,-5.901,-2.732,1.679,-5.384,-3.386,1.78577419791
6ed_35b_3ea,1.951,-6.042,-2.431,1.885,-5.701,-2.583,1.621,-5.14,-3.214,1.78596134724
21ed_31b_6ea,2.022,-6.326,-2.264,1.952,-5.915,-2.422,1.861,-5.442,-3.116,1.7859820821899999
14ed_30b_7ea,1.912,-6.202,-2.54,1.842,-5.855,-2.713,1.489,-5.098,-3.325,1.7860106252099999
2ed_35b_8ea,1.965,-6.313,-2.672,1.901,-5.964,-2.823,1.668,-5.443,-3.475,1.7860817153700004
16ed_35b_7ea,1.973,-6.08,-2.373,1.906,-5.706,-2.516,1.694,-5.186,-3.159,1.7864581685100003
7ed_22b_13ea,2.008,-6.502,-2.723,2.009,-6.18,-2.853,1.812,-5.604,-3.478,1.7865796138799999
16ed_35b_12ea,1.953,-6.224,-2.603,1.884,-5.867,-2.752,1.626,-5.337,-3.398,1.7865938853900003
3ed_32b_4ea,2.004,-6.443,-2.54,1.944,-6.078,-2.707,1.798,-5.572,-3.383,1.78675033722
20ed_34b_9ea,1.979,-6.175,-2.451,1.914,-5.812,-2.601,1.713,-5.275,-3.237,1.78691998332
6ed_35b_6ea,1.954,-6.044,-2.423,1.888,-5.7,-2.574,1.628,-5.133,-3.196,1.78708962942
13ed_39b_1ea,1.873,-6.347,-2.963,1.774,-5.981,-3.118,1.354,-5.388,-3.742,1.78713675291
21ed_35b_9ea,2.002,-6.279,-2.474,1.938,-5.904,-2.623,1.79,-5.418,-3.277,1.7871946488
16ed_32b_9ea,1.973,-6.194,-2.364,1.905,-5.824,-2.526,1.691,-5.287,-3.19,1.7875350182400003
11ed_39b_1ea,1.837,-6.165,-2.968,1.716,-5.792,-3.122,1.231,-5.217,-3.727,1.7875964132400002
5ed_33b_4ea,1.929,-6.125,-2.497,1.849,-5.777,-2.654,1.542,-5.163,-3.325,1.7876182254300002
5ed_39b_5ea,1.841,-6.126,-2.833,1.745,-5.801,-2.989,1.244,-5.139,-3.592,1.7877846398100001
17ed_35b_9ea,1.999,-6.309,-2.516,1.934,-5.931,-2.664,1.778,-5.446,-3.317,1.7878611161700002
16ed_32b_5ea,1.977,-6.202,-2.357,1.908,-5.829,-2.522,1.703,-5.293,-3.183,1.7880821947200003
11ed_33b_1ea,1.933,-6.114,-2.509,1.843,-5.725,-2.665,1.554,-5.17,-3.333,1.7881654019100002
11ed_35b_13ea,1.818,-6.187,-3.188,1.721,-5.818,-3.34,1.165,-5.24,-3.928,1.78822787415
14ed_30b_12ea,1.826,-6.311,-2.969,1.759,-5.983,-3.148,1.192,-5.209,-3.738,1.78824537738
13ed_39b_2ea,1.882,-6.326,-2.911,1.786,-5.956,-3.065,1.381,-5.364,-3.687,1.78836789999
6ed_35b_1ea,1.949,-6.062,-2.463,1.881,-5.723,-2.616,1.607,-5.16,-3.253,1.7885593582800001
21ed_34b_9ea,2.007,-6.245,-2.422,1.948,-5.875,-2.572,1.803,-5.378,-3.232,1.78859651922
17ed_31b_2ea,2.015,-6.44,-2.455,1.941,-6.029,-2.616,1.83,-5.558,-3.3,1.78861402245
13ed_39b_6ea,1.884,-6.328,-2.907,1.788,-5.957,-3.058,1.387,-5.361,-3.679,1.7886414882299997
2ed_32b_4ea,1.986,-6.405,-2.561,1.923,-6.048,-2.727,1.731,-5.518,-3.397,1.7889543918900002
17ed_31b_8ea,2.003,-6.668,-2.787,1.937,-6.275,-2.949,1.788,-5.776,-3.618,1.78912619247
16ed_35b_11ea,1.967,-6.161,-2.491,1.9,-5.8,-2.642,1.666,-5.27,-3.28,1.78922690289
19ed_36b_7ea,2.013,-6.763,-2.735,1.949,-6.359,-2.891,1.821,-5.846,-3.546,1.7894172839399998
5ed_33b_1ea,1.938,-6.112,-2.447,1.856,-5.761,-2.605,1.567,-5.151,-3.278,1.7895672723300002
14ed_36b_5ea,1.768,-6.218,-2.955,1.709,-5.886,-3.108,0.992,-5.106,-3.715,1.78964401608
20ed_35b_9ea,1.981,-6.177,-2.452,1.913,-5.806,-2.602,1.712,-5.281,-3.241,1.7897062209300003
19ed_35b_9ea,2.005,-6.323,-2.516,1.941,-5.948,-2.665,1.793,-5.462,-3.318,1.78975873062
9ed_35b_13ea,1.796,-6.053,-3.168,1.689,-5.69,-3.317,1.086,-5.127,-3.898,1.78988475234
9ed_33b_3ea,1.912,-6.001,-2.504,1.818,-5.619,-2.652,1.478,-5.066,-3.314,1.78995907422
20ed_34b_5ea,1.986,-6.185,-2.449,1.921,-5.819,-2.601,1.728,-5.285,-3.237,1.7900312416200002
2ed_32b_8ea,1.997,-6.526,-2.69,1.95,-6.183,-2.853,1.765,-5.638,-3.509,1.7901001773000003
21ed_34b_5ea,2.015,-6.261,-2.419,1.956,-5.887,-2.571,1.825,-5.397,-3.23,1.7904087720000001
5ed_31b_11ea,1.939,-6.112,-2.435,1.859,-5.765,-2.597,1.568,-5.15,-3.244,1.7904219662699998
17ed_35b_5ea,2.006,-6.324,-2.516,1.941,-5.943,-2.665,1.794,-5.462,-3.32,1.7906134245599996
20ed_35b_5ea,1.984,-6.187,-2.458,1.915,-5.815,-2.608,1.719,-5.291,-3.247,1.79083450311
19ed_31b_2ea,2.029,-6.481,-2.448,1.958,-6.075,-2.611,1.871,-5.611,-3.297,1.79088809004
5ed_33b_12ea,1.925,-6.145,-2.543,1.839,-5.798,-2.702,1.519,-5.18,-3.363,1.7910194979600003
6ed_32b_8ea,1.991,-6.326,-2.578,1.949,-6.003,-2.74,1.742,-5.432,-3.372,1.7910741621300001
21ed_35b_11ea,2.012,-6.327,-2.5,1.95,-5.955,-2.653,1.813,-5.472,-3.306,1.79107523937
19ed_35b_5ea,2.011,-6.335,-2.514,1.947,-5.957,-2.664,1.809,-5.477,-3.318,1.79129739516
13ed_39b_8ea,1.854,-6.396,-3.134,1.751,-6.041,-3.291,1.278,-5.445,-3.897,1.79135771292
21ed_35b_7ea,2.015,-6.227,-2.38,1.952,-5.842,-2.525,1.822,-5.364,-3.183,1.7914856217300001
9ed_33b_8ea,1.882,-6.05,-2.697,1.781,-5.682,-2.851,1.372,-5.122,-3.495,1.7915984491799999
1ed_31b_2ea,1.99,-6.244,-2.365,1.913,-5.856,-2.524,1.737,-5.329,-3.202,1.7916552678300002
9ed_18b_12ea,1.922,-6.163,-2.758,1.85,-5.809,-2.875,1.507,-5.269,-3.515,1.7916859653300001
17ed_31b_3ea,2.014,-6.542,-2.579,1.94,-6.129,-2.736,1.818,-5.656,-3.425,1.7917077775199997
2ed_35b_1ea,1.98,-6.231,-2.52,1.914,-5.869,-2.67,1.703,-5.352,-3.323,1.79172312627
3ed_32b_5ea,2.01,-6.283,-2.337,1.945,-5.901,-2.505,1.804,-5.388,-3.172,1.7918785008599998
7ed_16b_3ea,2.021,-6.335,-2.16,2.005,-5.997,-2.339,1.841,-5.418,-3.045,1.7919474365399999
21ed_35b_12ea,2.008,-6.415,-2.608,1.946,-6.045,-2.76,1.797,-5.567,-3.422,1.7919638625299998
21ed_34b_4ea,2.014,-6.401,-2.577,1.957,-6.04,-2.732,1.817,-5.557,-3.406,1.7920667274299997
11ed_31b_6ea,1.944,-6.095,-2.454,1.85,-5.702,-2.61,1.58,-5.153,-3.259,1.7921827865999997
13ed_34b_9ea,1.971,-6.224,-2.546,1.901,-5.849,-2.694,1.671,-5.309,-3.334,1.7922867287400002
21ed_35b_6ea,2.016,-6.27,-2.428,1.955,-5.89,-2.576,1.823,-5.411,-3.234,1.79234031567
20ed_34b_12ea,1.975,-6.314,-2.631,1.91,-5.961,-2.784,1.684,-5.418,-3.424,1.7924749553100001
16ed_35b_4ea,1.96,-6.211,-2.578,1.891,-5.853,-2.729,1.633,-5.326,-3.382,1.79257674297
19ed_35b_10ea,2.014,-6.362,-2.531,1.952,-5.986,-2.682,1.815,-5.504,-3.334,1.7927846272499997
17ed_35b_10ea,2.009,-6.347,-2.532,1.945,-5.967,-2.682,1.798,-5.484,-3.334,1.7928185564699999
19ed_35b_11ea,2.015,-6.378,-2.546,1.954,-6.006,-2.699,1.818,-5.523,-3.351,1.79292142137
17ed_31b_6ea,2.02,-6.441,-2.428,1.944,-6.025,-2.587,1.834,-5.547,-3.271,1.79324644206
21ed_34b_8ea,2.024,-6.525,-2.709,1.975,-6.173,-2.863,1.847,-5.686,-3.53,1.79343466863
17ed_35b_7ea,2.014,-6.264,-2.427,1.95,-5.877,-2.572,1.813,-5.399,-3.229,1.7935025270699998
7ed_19b_13ea,2.033,-6.551,-2.764,2.015,-6.237,-2.933,1.877,-5.644,-3.508,1.79358896598
11ed_33b_6ea,1.947,-6.092,-2.441,1.856,-5.695,-2.596,1.586,-5.139,-3.256,1.7936700186899999
19ed_35b_7ea,2.018,-6.273,-2.424,1.955,-5.888,-2.57,1.826,-5.411,-3.226,1.7936907536399997
13ed_39b_3ea,1.874,-6.357,-3.003,1.775,-5.992,-3.154,1.339,-5.398,-3.776,1.79373464541
2ed_35b_3ea,1.983,-6.255,-2.549,1.918,-5.894,-2.697,1.707,-5.377,-3.348,1.79392825818
17ed_6b_9ea,2.029,-6.127,-1.661,1.997,-5.71,-1.769,1.862,-5.142,-2.708,1.7941186392299997
17ed_35b_11ea,2.011,-6.365,-2.547,1.948,-5.989,-2.7,1.801,-5.505,-3.352,1.79416899444
11ed_39b_2ea,1.85,-6.141,-2.913,1.733,-5.764,-3.066,1.256,-5.189,-3.67,1.79440003554
5ed_33b_3ea,1.953,-6.08,-2.372,1.875,-5.723,-2.527,1.604,-5.115,-3.199,1.7944907834100001
5ed_16b_2ea,2.006,-6.053,-2.205,1.966,-5.72,-2.366,1.783,-5.142,-3.0,1.7945618735699997
10ed_34b_5ea,1.983,-6.166,-2.445,1.916,-5.803,-2.597,1.705,-5.253,-3.23,1.794646158
17ed_35b_4ea,2.007,-6.428,-2.629,1.943,-6.053,-2.782,1.786,-5.576,-3.448,1.79469866769
5ed_5b_13ea,1.952,-6.299,-2.827,1.923,-5.997,-2.967,1.6,-5.368,-3.53,1.7947129391999999
17ed_36b_7ea,1.976,-6.609,-2.741,1.899,-6.195,-2.893,1.681,-5.666,-3.54,1.7947654488899998
16ed_35b_3ea,1.969,-6.196,-2.54,1.902,-5.834,-2.688,1.657,-5.309,-3.337,1.7948847397800003
19ed_35b_12ea,2.012,-6.465,-2.651,1.949,-6.095,-2.804,1.802,-5.617,-3.464,1.79502368838
1ed_39b_11ea,1.902,-6.431,-2.904,1.817,-6.077,-3.062,1.43,-5.452,-3.684,1.7950522314000001
17ed_39b_3ea,1.965,-6.764,-2.989,1.888,-6.351,-3.145,1.643,-5.802,-3.791,1.7950554631200002
20ed_35b_10ea,1.989,-6.205,-2.468,1.922,-5.835,-2.619,1.724,-5.306,-3.256,1.7951079728100003
5ed_19b_13ea,1.932,-6.331,-2.977,1.883,-6.032,-3.126,1.531,-5.406,-3.662,1.79520760599
1ed_39b_7ea,1.922,-6.369,-2.754,1.838,-6.0,-2.903,1.497,-5.387,-3.54,1.79527546443
5ed_14b_13ea,1.952,-6.297,-2.818,1.924,-5.994,-2.957,1.598,-5.363,-3.523,1.7954308390199998
14ed_31b_9ea,1.955,-6.206,-2.391,1.879,-5.848,-2.548,1.608,-5.1,-3.22,1.79548227147
19ed_16b_9ea,2.027,-6.398,-2.48,1.969,-6.028,-2.642,1.851,-5.524,-3.304,1.79563980054
19ed_35b_4ea,2.014,-6.447,-2.629,1.951,-6.077,-2.782,1.807,-5.603,-3.448,1.7956562265299998
16ed_35b_1ea,1.97,-6.182,-2.515,1.902,-5.82,-2.665,1.658,-5.294,-3.317,1.7957394337200001
