,HOMO Ranks, HOMO Values,LUMO Ranks,LUMO Values,Wavelength Ranks,Wavelength Values
918,10ed_1b_6ea,-5.41610167370265,5ed_24b_3ea,-3.072148761731914,5ed_21b_10ea,461.37490121758674
919,11ed_22b_4ea,-5.4159801835545,5ed_23b_8ea,-3.0722392279051913,7ed_10b_3ea,461.3263930700267
920,6ed_24b_1ea,-5.4157276064448965,2ed_36b_8ea,-3.0728048146593885,9ed_17b_6ea,461.3144676370326
921,5ed_14b_1ea,-5.415451538889501,6ed_10b_8ea,-3.076132383549397,3ed_22b_8ea,461.26027865473355
922,7ed_17b_5ea,-5.415326765905442,1ed_6b_9ea,-3.0765161043561897,11ed_7b_1ea,461.0095772981131
923,9ed_9b_8ea,-5.415133542344993,7ed_1b_2ea,-3.077446356606047,5ed_7b_9ea,460.9685158592281
924,7ed_9b_9ea,-5.414451582347672,5ed_20b_11ea,-3.077844106060059,6ed_11b_8ea,460.8966687289499
925,7ed_1b_2ea,-5.414090143044701,5ed_9b_9ea,-3.0781667102485253,3ed_13b_8ea,460.82227851931765
926,5ed_13b_6ea,-5.413974463485089,5ed_20b_2ea,-3.079395460077339,3ed_25b_5ea,460.81449442164507
927,6ed_14b_9ea,-5.413312204106011,7ed_2b_9ea,-3.079864787406094,10ed_8b_6ea,460.74426005474334
928,2ed_10b_10ea,-5.4127108156482215,6ed_22b_6ea,-3.0798735731078732,3ed_6b_5ea,460.7136322704734
929,10ed_3b_1ea,-5.412513047176942,11ed_14b_11ea,-3.0800389928996332,10ed_11b_8ea,460.371631025087
930,11ed_13b_11ea,-5.412488294656229,6ed_6b_9ea,-3.080503460577074,6ed_23b_9ea,460.2071989429656
931,10ed_24b_9ea,-5.412452176255654,9ed_21b_6ea,-3.080922515838045,1ed_3b_3ea,460.1775865492023
932,5ed_7b_5ea,-5.412323361749617,2ed_20b_10ea,-3.0817623019146256,10ed_24b_5ea,460.16023534957753
933,7ed_2b_7ea,-5.412276887849672,11ed_3b_11ea,-3.083074599416638,9ed_24b_9ea,460.1491726492877
934,11ed_2b_4ea,-5.412246324740421,7ed_8b_2ea,-3.0835693502498795,1ed_25b_9ea,460.0637229329794
935,9ed_8b_8ea,-5.411682065063701,7ed_10b_8ea,-3.0835859880525875,3ed_22b_6ea,459.95806487886085
936,6ed_1b_11ea,-5.411520163298572,3ed_22b_7ea,-3.0852003258898937,6ed_14b_8ea,459.88728245485873
937,11ed_3b_8ea,-5.4110443065109095,10ed_2b_9ea,-3.0857621782406897,1ed_24b_5ea,459.78986544440556
938,5ed_7b_10ea,-5.411016271154288,9ed_8b_6ea,-3.085855636863582,5ed_3b_10ea,459.75062469841254
939,6ed_2b_4ea,-5.4105684497232485,3ed_13b_3ea,-3.0866875708392327,6ed_7b_5ea,459.7335760630389
940,7ed_17b_9ea,-5.410408568719106,9ed_2b_3ea,-3.088270141613164,10ed_12b_4ea,459.67347241205425
941,1ed_10b_11ea,-5.41038406789282,11ed_3b_5ea,-3.0890118010626018,9ed_24b_10ea,459.66909628467334
942,10ed_24b_5ea,-5.4102201453667025,11ed_7b_3ea,-3.0896708464396903,10ed_17b_1ea,459.66278213677737
943,5ed_9b_1ea,-5.408389965397699,3ed_20b_6ea,-3.0897786923694626,9ed_25b_1ea,459.5916566303371
944,5ed_1b_1ea,-5.408315959529986,6ed_24b_3ea,-3.0912027618517106,11ed_23b_11ea,459.4781546081163
945,11ed_8b_4ea,-5.407880262664877,10ed_8b_11ea,-3.0932548516014604,11ed_7b_3ea,459.40250619773536
946,6ed_25b_3ea,-5.407831516309517,9ed_21b_2ea,-3.096196257541786,2ed_2b_1ea,459.3977104358173
947,6ed_13b_9ea,-5.4074731081480305,5ed_13b_9ea,-3.097697889798006,3ed_3b_11ea,459.31951217961523
948,11ed_13b_3ea,-5.407426885942513,7ed_9b_3ea,-3.0984561870501515,11ed_14b_7ea,459.3059277240248
949,1ed_1b_7ea,-5.407227096710245,2ed_26b_3ea,-3.098653565552351,11ed_7b_11ea,459.26796319759313
950,7ed_8b_9ea,-5.407201333809038,5ed_8b_9ea,-3.098916920324191,7ed_25b_1ea,459.2271676916897
951,10ed_3b_6ea,-5.406219564116102,5ed_20b_10ea,-3.099267940466757,1ed_25b_10ea,458.9976340916877
952,11ed_17b_3ea,-5.40609504282647,6ed_25b_3ea,-3.102901284095461,6ed_21b_1ea,458.9281979680254
953,10ed_8b_9ea,-5.4060384651215845,9ed_24b_3ea,-3.1037294836677116,10ed_23b_4ea,458.85308710742083
954,11ed_7b_9ea,-5.406016743742354,6ed_26b_3ea,-3.103823875891453,9ed_7b_6ea,458.6664345496137
955,10ed_14b_9ea,-5.405928089158869,6ed_1b_10ea,-3.1061664194721663,10ed_3b_2ea,458.6333787846804
956,10ed_11b_11ea,-5.40545526351269,11ed_9b_2ea,-3.1077820742044495,7ed_3b_10ea,458.55670406845235
957,5ed_22b_3ea,-5.405243098020065,10ed_25b_3ea,-3.108972688776533,6ed_21b_8ea,458.54142084030633
958,10ed_12b_5ea,-5.405157474578064,6ed_21b_8ea,-3.109320716469486,10ed_25b_10ea,458.53486218129746
959,11ed_24b_11ea,-5.404659137725103,1ed_24b_3ea,-3.1095500536821232,11ed_7b_9ea,458.4794902337818
