Name,HOMO Donor,LUMO Donor,HOMO Backbone,LUMO Backbone,HOMO Acceptor,LUMO Acceptor,HOMO Anchor,LUMO Anchor
3ed_38b_10ea,14.08,4.84,75.79,92.56,9.9,2.46,0.66,0.19
10ed_44b_6ea,21.79,0.91,75.46,98.51,1.04,0.49,0.39,0.19
3ed_33b_10ea,16.62,1.41,79.67,96.65,3.46,1.89,0.22,0.18
16ed_39b_7ea,53.18,2.07,45.36,96.99,1.15,0.57,0.35,0.18
2ed_39b_7ea,40.4,1.88,57.65,97.17,1.66,0.58,0.52,0.18
6ed_38b_10ea,19.66,6.68,71.26,90.91,8.67,2.25,0.58,0.18
7ed_39b_7ea,34.66,2.04,62.59,96.95,1.83,0.57,0.56,0.17
6ed_39b_7ea,49.03,2.49,48.57,96.55,1.16,0.56,0.35,0.17
9ed_41b_10ea,50.43,4.48,44.37,93.33,3.05,1.94,0.18,0.14
21ed_41b_10ea,4.65,1.31,83.4,96.15,10.58,2.33,0.67,0.12
20ed_41b_10ea,26.93,2.7,63.14,94.45,5.62,2.38,0.31,0.12
5ed_41b_10ea,54.11,3.13,41.4,94.29,3,2.36,0.16,0.12
14ed_41b_10ea,92.36,2.2,1.93,95.22,0.15,2.39,0.01,0.12
2ed_41b_10ea,21.59,1.98,70.22,95.37,7.17,2.42,0.41,0.12
1ed_41b_10ea,39.59,2.83,54.57,94.61,4.87,2.37,0.28,0.12
16ed_41b_10ea,36.7,1.94,57.33,95.38,5.07,2.49,0.29,0.12
19ed_41b_10ea,9.71,2.24,78.95,95.17,10,2.4,0.65,0.12
17ed_41b_10ea,20.47,2.39,70.47,95.03,7.93,2.4,0.5,0.12
11ed_41b_10ea,57.07,4.18,38.1,93.2,2.83,2.41,0.15,0.12
6ed_44b_7ea,23.41,1.55,74.94,97.96,1.04,0.41,0.3,0.12
21ed_44b_7ea,2.71,0.49,95.33,99.02,1.72,0.42,0.51,0.12
20ed_44b_7ea,12.5,0.64,84.32,98.82,1.37,0.42,0.41,0.12
10ed_44b_7ea,18.22,0.82,79.1,98.67,1.25,0.42,0.37,0.12
2ed_44b_7ea,14.58,1.12,83.91,98.4,1.32,0.42,0.39,0.12
16ed_44b_7ea,19.83,1.21,78.76,98.3,1.2,0.42,0.36,0.12
5ed_44b_7ea,50.47,0.84,47.87,98.68,0.68,0.42,0.2,0.12
14ed_44b_7ea,69.86,0.51,25.12,99,0.44,0.43,0.13,0.12
9ed_44b_7ea,54.75,1.22,42.63,98.28,0.53,0.43,0.15,0.12
1ed_44b_7ea,15.58,0.65,82.75,98.86,1.45,0.43,0.43,0.12
19ed_44b_7ea,2.7,0.57,95.29,98.94,1.82,0.43,0.55,0.12
17ed_44b_7ea,4.16,0.54,93.87,98.96,1.78,0.44,0.54,0.12
13ed_44b_7ea,23.77,0.95,74.76,98.55,1.24,0.44,0.37,0.12
11ed_44b_7ea,50.67,1.15,47.05,98.35,0.65,0.43,0.19,0.12
10ed_41b_10ea,32.26,3.25,59.73,94.08,4.87,2.3,0.27,0.11
6ed_41b_10ea,36.94,3.1,57.02,94.28,4.38,2.32,0.23,0.11
7ed_44b_7ea,12.85,1.27,85.47,98.25,1.3,0.41,0.38,0.11
3ed_44b_7ea,9.34,1.05,89.09,98.49,1.31,0.39,0.39,0.11
7ed_41b_10ea,19.02,3.71,72.64,93.77,6.91,2.13,0.37,0.1
3ed_41b_10ea,15.31,3.28,75.79,94.1,7.68,2.23,0.43,0.1
6ed_39b_10ea,48.29,2.81,48.43,95.68,2.06,1.11,0.13,0.09
7ed_39b_10ea,33.78,2.27,61.94,96.18,3.39,1.1,0.22,0.09
16ed_39b_10ea,52.79,2.34,44.83,96.17,2.07,1.13,0.14,0.09
2ed_39b_10ea,39.59,2.12,57.05,96.39,3.09,1.13,0.21,0.09
9ed_39b_10ea,80.56,2.63,15.7,95.82,0.45,1.17,0.03,0.09
3ed_39b_10ea,27.2,1.84,68.02,96.6,4.41,1.11,0.3,0.08
